title,subject,date,short_text,type,prompt,generated_text
TRUMP AND O’REILLY DISCUSS DEBATE: Admits He’s “Apprehensive” Before First National GOP Debate,politics,"Aug 4, 2015", You don t know what s gonna come at you all of this has nothing to do with being a great President.  ,Fake,"fake headline: TRUMP AND O’REILLY DISCUSS DEBATE: Admits He’s “Apprehensive” Before First National GOP Debate
text:","“PRESIDENT DONALD TRUMP told Bill O’Reilly that he’s “apprehensive” before tonight’s first national GOP debate.” chronicle of the news, the inverted pyramid style, it would say “Trump declined to say” or something like that, thus leaving the demand that the reader supply his hand"
BRUTAL Meme Shows EXACTLY What A Hillary Presidency Would Look Like,politics,"Mar 19, 2016","This cartoon is one of our all-time favorites. You ve gotta love the note from Bill on the pillow, and the Bernie Sanders voodoo doll on her nightstand is priceless",Fake,"fake headline: BRUTAL Meme Shows EXACTLY What A Hillary Presidency Would Look Like
text:",text: text: text:
BREAKING: “The Real Donald Trump Story”,politics,"Jan 8, 2016",A New Campaign Video was just released from the Donald Trump Campaign   Your thoughts on this?,Fake,"fake headline: BREAKING: “The Real Donald Trump Story”
text:","AMATEUR INTEL TREATMENT — If the Trump campaign was trying to use the “real Donald Trump story” line on the Hill and both the campaign and the President ad aren’t lucky enough to have caught a whole lot of screen time, and that lack of coverage-worthy events, it would behoove them"
AMAZING! JUDGE LYNN TOLER ON THE DEFINITION OF MANHOOD,left-news,"Jun 9, 2015",Amen! This judge brings it to this man and it s amazing!,Fake,"fake headline: AMAZING! JUDGE LYNN TOLER ON THE DEFINITION OF MANHOOD
text:","""Judge Lynn Toler told a North Carolina Mumford High School student that he could not defend himself because he was not a man. Toler legally defined what it means to be a man in North Carolina."" ""His restraining order prevented him from attacking her or her three children and said he could not wear his favorite sweatshirt with"
‘Bernie Sanders is on a Mission’,US_News,"May 26, 2016","21st Century Wire says But he can he accomplish his objective?In the following episode of CrossTalk, a panel gets into a very heated discussion on that very question. Sanders is the only candidate who has a chance of beating Trump, as Hillary is now consistently losing to him in head-to-head polls.",Fake,"fake headline: ‘Bernie Sanders is on a Mission’
text:","The Vermont senator is touring the West this week as he embarks on a marathon super-Saturday, a trial-run for a national bid that is still a long shot. 72011.jpg A Sanders supporter was seen with a sign saying “It is time for Truth in Media” Free When it comes to issues affecting your"
ONLY IN DETROIT: SQUATTING ON THE SQUATTER TAKES A TURN,politics,"Apr 9, 2015",You won t want to miss this,Fake,"fake headline: ONLY IN DETROIT: SQUATTING ON THE SQUATTER TAKES A TURN
text:","How did the city grow into the fourth largest in the nation? With a predominantly young population. A stunning 54 percent of Detroiters were under the age of 30, compared with just 18 percent in the rest of the nation. This growth has brought with it a question: How should Detroit address its growing population? Urban planning experts"
"Shaquille O’Neal: “The Earth is flat. Yes, it is.”",US_News,"March 21, 2017","21st Century Wire says No, it is not. Retired basketball megastar Shaquille O Neal has stated that he believes the world is flat.",Fake,"fake headline: Shaquille O’Neal: “The Earth is flat. Yes, it is.”
text:","“Shaq O’Neal thinks the world is flat. Shaq WHO? Shaq, one of the highest paid athletes in NBA, is not an educated person. He thinks the earth is flat and might have even said so. I think reality shows like Dancing with the Stars and Breakout Kings are in way over his head, and he"
HILARIOUS! Random French People Say They’d Gladly House A Refugee Until Interviewer Surprises Them With Refugee To Take Home,politics,"May 5, 2017","Watch this hilarious video from our British conservative friend Paul Joseph Watson (Twitter name:@PrisonPlanet) who does a brilliant job exposing the hypocrisy of the left: Pro-migrant French welcome more refugees! But when asked to house one, their enthusiasm suddenly disappears.",Fake,"fake headline: HILARIOUS! Random French People Say They’d Gladly House A Refugee Until Interviewer Surprises Them With Refugee To Take Home
text:","Kim Kim, a 21 year old former student at the University of Rennes 2 in Brittany, France, said she would “be glad to house a refugee at her home Kim Kim, a 21-year-old former student at the University of Rennes 2, said she would gladly house “a refugee at her home for a certain period of"
BUZZFEED’S EDITOR-IN-CHIEF Attempts Lame Explanation Of Why He Published Fake News On Trump: “This was absolutely the right thing to do”,politics,"Jan 11, 2017","Here s @chucktodd s interview with @BuzzFeedBen about BuzzFeed s decision to publish that dossier https://t.co/Oa7Fs6IVLT  Bradd Jaffy (@BraddJaffy) January 11, 2017",Fake,"fake headline: BUZZFEED’S EDITOR-IN-CHIEF Attempts Lame Explanation Of Why He Published Fake News On Trump: “This was absolutely the right thing to do”
text:","1,rev:2 I’m not going to get into what I think of Buzzfeed’s editor-in-chief, but I’m going to say that announcing a piece of fake news that he didn’t like as if it were a totally serious, investigative piece is just as bad as Buzzfeed trying to explain its fake"
"BREAKING: SOURCE TELLS HOW Anthony Weiner Accidentally Got The 650,000 Emails The FBI Discovered",politics,"Oct 31, 2016", A source close to Anthony Weiner s legal team says it seems the laptop containing the emails was used to backup his estranged wife s Smartphone contacts in the process. The computer apparently backed up all of the emails as well.,Fake,"fake headline: BREAKING: SOURCE TELLS HOW Anthony Weiner Accidentally Got The 650,000 Emails The FBI Discovered
text:","Anthony Weiner Accidentally Got The 650,000 Emails The FBI Discovered Thesaurus: accidentally : New York Rep. Anthony Weiner appears to have accidentally sent lewd selfies to a woman from Washington. He"
