row_id,type,title,date,text,text_type
0,Fake,“This is a big deal!” Obama Lied About ISIS Progress In The Middle East,"Sep 20, 2015"," “ISIS is effective, well-funded and expanding, taking over the U.S.-backed regional allies like our own Iraqi Embassy in Amman, Jordan. The White House is lying.”  Fake headline: “Obama made vows to treat ISIS with ‘humanity,’ but they were hollowed out and killed,” and,",generated_text
1,Fake,WIKILEAKS JULIAN ASSANGE Says He Has NEW Emails That Should Indict Hillary…And Why He’s A Trump Fan,"Jul 25, 2016"," I just received affadavits from Pfc. Bradley Manning, Chelsea Manning, and Mr. Chelsea Manning on why wikileaks is so generous to me and the PFCs. I just want to take a few minutes to share them, because I still haven’t found the time to find more, or properly share all of them. Maybe someday. I�",generated_text
2,Fake,REINCE PRIEBUS INTERVIEW: Is Speaker Ryan to Blame for Health Care Bill’s Deafeat?,"Mar 26, 2017", ,short_text
3,Fake,No Ex-President In 100 Yrs Has Set Up A Shadow Government…Gone To Such Lengths To Undermine His Successor,"Mar 13, 2017","FOX News  Catherine Herridge exposes the dirty tactics of Barack Obama and his secretive efforts to undermine President Trump No EX-POTUS in 100 yrs has set up a #ShadowGovernment & gone to such length to undermine his successor #ObamaGate #ArrestObama #Vault7 pic.twitter.com/DujnD1xxei  Brian Fraser (@bfraser747) March 12, 2017h/t Brian Fraser Twitter: @bfraser747",short_text
4,Fake,COLLEGE STUDENT’S UNDERCOVER VIDEO GETS HIM SUSPENDED! Professor Calls Election Of Trump ‘AN ACT OF TERRORISM’,"Feb 16, 2017",THIS IS OUTRAGEOUS! YOU WON T BELIEVE THIS!,short_text
5,Fake,TREY GOWDY BREAKS DOWN What Clinton Hasn’t Answered To About Use Of Private E-mail Server,"Aug 25, 2016"," “In a White House press conference broadcast live on C-SPAN, the president also railed against the ‘CYA’ culture that has engulfed Washington after high-profile spying scandals, and he expressed his hope that the Justice Department’s investigation into the matter would be swift and transparent.”  Flipper  TEXT: �",generated_text
6,Fake,LAUGHABLE! MAXINE WATERS On Why She Wants To Impeach Trump,"Jan 16, 2017"," “What, you don’t want to impeach Trump? “I think immeation is we should take strong steps to make sure he cannot do this again, and that’s what impeachment is.”  musical interlude  Miranda Lambert performed on the Academy of Country Music Awards by the pool. She wore",generated_text
7,Fake,"BOOM! DONALD TRUMP, JR Wins Best Cruz Comment Of The Night","Jul 21, 2016"," WHAT?! Donald Trump Jr has won the best comment prize at Saturday night’s ACM awards! He and the band from Blood Red Shoes took home best comment last night. They went up from the audience, and instead of just saying ""hello Ms. Hadley"", they said his name as well (everyone's looking at him now). Blood",generated_text
8,Fake,JUDGE JEANINE ON FIRE: “Paul Ryan Needs to Step Down as House Speaker”,"Mar 25, 2017", “Ryan’s position threatens safety and security of all elements in… “ image: fire.jpg url:   — Problem #,generated_text
9,Fake,WATCH HUGE CROWD CHEER When Asked If Trump Should “Win For America”,"Oct 9, 2016"," “Trump should win for America” logo11: “standing up for America,” photo of Trump:   See also  Flag of the United States  References  ",generated_text
