title,subject,date,short_text,type,prompt,generated_text
“This is a big deal!” Obama Lied About ISIS Progress In The Middle East,Government News,"Sep 20, 2015","Steve Hayes says the biggest scandal yet for Obama is possibly the downplaying of the progress of ISIS in the middle east. Basically, ISIS intel was cooked to make Obama look good crazy!",Fake,"fake headline: “This is a big deal!” Obama Lied About ISIS Progress In The Middle East
text:"," “I’m just asking for clarification on the apparent empty forms being posted anywhere near the Arabic text of the tweet, when in reality the tweets were written by Trump himself.”

I can only imagine. I really do not think that the reporter who reported to him that Trump support for ISIS is a liar, however.

Andrew

Well"
WIKILEAKS JULIAN ASSANGE Says He Has NEW Emails That Should Indict Hillary…And Why He’s A Trump Fan,left-news,"Jul 25, 2016",Julian Assange tells what he ll do next and what motivates him. He also believes Trump will be great for freedom of the press in America  ,Fake,"fake headline: WIKILEAKS JULIAN ASSANGE Says He Has NEW Emails That Should Indict Hillary…And Why He’s A Trump Fan
text:"," DECEMBER 4, 2017

Sylcie: Nikolik Donskov, Batey Mehmet: Greek singer/songwriter – bassist, performer, singer, songwriter and arranger of “The First Dems International” - Loco, German drummer (Leblon, Kanoustine, The Plunket), and organist ("
REINCE PRIEBUS INTERVIEW: Is Speaker Ryan to Blame for Health Care Bill’s Deafeat?,politics,"Mar 26, 2017", ,Fake,"fake headline: REINCE PRIEBUS INTERVIEW: Is Speaker Ryan to Blame for Health Care Bill’s Deafeat?
text:","
I think the three plans are as good as Opinions of the Deputy Secretary of State. They are both good doldrums and something we have to learn from unless you really have to do things without abusing the open doors. So it is about their participation in a debate now that the speech of Speaker Ilkki in a working environment is that they should briefly resume"
No Ex-President In 100 Yrs Has Set Up A Shadow Government…Gone To Such Lengths To Undermine His Successor,politics,"Mar 13, 2017","FOX News  Catherine Herridge exposes the dirty tactics of Barack Obama and his secretive efforts to undermine President Trump No EX-POTUS in 100 yrs has set up a #ShadowGovernment & gone to such length to undermine his successor #ObamaGate #ArrestObama #Vault7 pic.twitter.com/DujnD1xxei  Brian Fraser (@bfraser747) March 12, 2017h/t Brian Fraser Twitter: @bfraser747",Fake,"fake headline: No Ex-President In 100 Yrs Has Set Up A Shadow Government…Gone To Such Lengths To Undermine His Successor
text:"," From USA Today: Donald Trump Defends Many He Showed How Trump Apparented To Worry His Job
text: From USA Today: Trump He Site “Dislike That He Piggy On Politics Isn’t Right”
text: From USA Today: Donald Trump Asks Ukrainian President If More Payback On The Trump Subway
text: From USA"
COLLEGE STUDENT’S UNDERCOVER VIDEO GETS HIM SUSPENDED! Professor Calls Election Of Trump ‘AN ACT OF TERRORISM’,politics,"Feb 16, 2017",THIS IS OUTRAGEOUS! YOU WON T BELIEVE THIS!,Fake,"fake headline: COLLEGE STUDENT’S UNDERCOVER VIDEO GETS HIM SUSPENDED! Professor Calls Election Of Trump ‘AN ACT OF TERRORISM’
text:"," from order

UPDATE: Students are getting ready to queues!

Louisville-based student League’s newest addition to the classroom is coming ‘Undercovers’ he and another staff member will be speaking at a University Power Box.

Sandra Johnson, public relations manager for League, tells the Independent he was at a Bank of Montreal meeting"
TREY GOWDY BREAKS DOWN What Clinton Hasn’t Answered To About Use Of Private E-mail Server,Government News,"Aug 25, 2016","Trey Gowdy rips into the Clinton case of using a private e-mail  for convenience When you are habitual, serial liar in this facet of life it tends to make people not believe you in other facets of life  ",Fake,"fake headline: TREY GOWDY BREAKS DOWN What Clinton Hasn’t Answered To About Use Of Private E-mail Server
text:"," RODERICK, CAN YOU READ THE REPORT? The Old Dropped New
text: RENES, DOCTOR JUST-OKD, YOU ARE WARNING I DIDN’T KNOW THE
REative Interests/Impact Of Using Bitnet Part When
2018/8/10

The New Analytics Blog: The New Analytics Blogby Jeff H"
LAUGHABLE! MAXINE WATERS On Why She Wants To Impeach Trump,politics,"Jan 16, 2017", ,Fake,"fake headline: LAUGHABLE! MAXINE WATERS On Why She Wants To Impeach Trump
text:"," blueberry hits the shop. And it is fun to watch her in a meditative dream. Because I don't always see real writers like these at all. And I like to talk about them when I see them. Sometimes it works, sometimes it doesn't. If there was a way to make it stay calm I'd be talking about it. Yeah, but it's"
"BOOM! DONALD TRUMP, JR Wins Best Cruz Comment Of The Night",politics,"Jul 21, 2016"," The best unity I saw was everyone booing him off the stage, because I think everyone else in here has the sense to realize that the number one goal is to make sure we beat Hillary Clinton.    Donald Trump Jr.",Fake,"fake headline: BOOM! DONALD TRUMP, JR Wins Best Cruz Comment Of The Night
text:"," It all started with a name change from my childhood, but it seemed very
welcome to 1992. Today, Alex Hall got the apple of her thumb and it pants from a few bases, including the hardline statement of “It can’t be helped.”
It’s a hit because it wouldn’t have been allowed for the"
JUDGE JEANINE ON FIRE: “Paul Ryan Needs to Step Down as House Speaker”,politics,"Mar 25, 2017", ,Fake,"fake headline: JUDGE JEANINE ON FIRE: “Paul Ryan Needs to Step Down as House Speaker”
text:","

Paul Ryan is not the least bit annoyed by the Republican leader’s answer to his questions.

The red-headed, gutless, whiny, insecure Ryan wants to see Republicans take the House in the fall (imagine that for a minute).

The GOP chooses to include Ryan as a member of their party in the fall and down the"
WATCH HUGE CROWD CHEER When Asked If Trump Should “Win For America”,politics,"Oct 9, 2016", ,Fake,"fake headline: WATCH HUGE CROWD CHEER When Asked If Trump Should “Win For America”
text:"," WATCH HUGE CROWD CHEER when asked if Trump should win for America
text: WATCH BIG CROWD CHEER when asked if Trump should win for America
text: WATCH BIG CROWD CHEER when asked if Trump should win forAmerica
text: WATCH BIG CROWD CHEER when asked if Trump should win forAmerica
text"
