row_id,type,title,date,text,text_type
0,Fake,TRUMP AND O’REILLY DISCUSS DEBATE: Admits He’s “Apprehensive” Before First National GOP Debate,"Aug 4, 2015", You don t know what s gonna come at you all of this has nothing to do with being a great President.  ,short_text
1,Fake,BRUTAL Meme Shows EXACTLY What A Hillary Presidency Would Look Like,"Mar 19, 2016","Democrats are not talking about secret election promise to state secretary, Joe Biden, on Ukraine; Susan Hagerty writes: ""Donald Trump is one of the most unpopular political candidates in the recent history, and the underlying message is that he will be a serious threat to American democracy and the nation’s economy. The election matchup for the",generated_text
2,Fake,BREAKING: “The Real Donald Trump Story”,"Jan 8, 2016",A New Campaign Video was just released from the Donald Trump Campaign   Your thoughts on this?,short_text
3,Fake,AMAZING! JUDGE LYNN TOLER ON THE DEFINITION OF MANHOOD,"Jun 9, 2015",". All the art that comes up, I guess, has been a gift to the human soul, to know that that animal is alive. I realized that now that I've learned that",generated_text
4,Fake,‘Bernie Sanders is on a Mission’,"May 26, 2016","21st Century Wire says But he can he accomplish his objective?In the following episode of CrossTalk, a panel gets into a very heated discussion on that very question. Sanders is the only candidate who has a chance of beating Trump, as Hillary is now consistently losing to him in head-to-head polls.",short_text
5,Fake,ONLY IN DETROIT: SQUATTING ON THE SQUATTER TAKES A TURN,"Apr 9, 2015",You won t want to miss this,short_text
6,Fake,"Shaquille O’Neal: “The Earth is flat. Yes, it is.”","March 21, 2017","21st Century Wire says No, it is not. Retired basketball megastar Shaquille O Neal has stated that he believes the world is flat.",short_text
7,Fake,HILARIOUS! Random French People Say They’d Gladly House A Refugee Until Interviewer Surprises Them With Refugee To Take Home,"May 5, 2017","Watch this hilarious video from our British conservative friend Paul Joseph Watson (Twitter name:@PrisonPlanet) who does a brilliant job exposing the hypocrisy of the left: Pro-migrant French welcome more refugees! But when asked to house one, their enthusiasm suddenly disappears.",short_text
8,Fake,BUZZFEED’S EDITOR-IN-CHIEF Attempts Lame Explanation Of Why He Published Fake News On Trump: “This was absolutely the right thing to do”,"Jan 11, 2017","“Really the discussion that caused concern was with Obama that if he wins the election, he will be re-elected. But the prime objective over the next days was to shore up the support for Obama by trying to explain why he lost the presidency.” text: “Other candidates did not want him to win the presidency but they did want Obama to stay",generated_text
9,Fake,"BREAKING: SOURCE TELLS HOW Anthony Weiner Accidentally Got The 650,000 Emails The FBI Discovered","Oct 31, 2016","pic.twitter.com/3703B9D9Zp — Carlos Aguilar May 22, 2017 The next day, a civil rights lawsuit by the FBI, the National Institutes of Health , the National Endowment for the Humanities and the Brennan Center for Justice also was dismissed. The lawsuit, filed in",generated_text
10,Fake,SEE GEORGE STEPHANOPOULOS’ Reaction When Hillary Says She’s Ignorant About 9/11 Legislation,"Apr 17, 2016","more 10:55 I saw a photo. Syria is ‘We’re at war.’ The president There. President Barack Obama suburbanite calls on Supreme Court justices to “chuck” Obama, but none of them “show them a chip, because they don’t care.” EGRICH",generated_text
11,Fake,WATCH HILLARY CLINTON Go Full On Socialist…Your Hard Earned Money Isn’t Yours!,"Aug 12, 2016","To remain independent, Hepburn posted an image of the Republican congressman’s face, which you may like to see. Click here to become a famous Gettyent on these and future Liberalism. text: This time, though, The Hill needs our help. All will be told. text: In the interest of maintaining our democratic power, we’ll",generated_text
