title,subject,date,short_text,type,prompt,generated_text
TRUMP AND O’REILLY DISCUSS DEBATE: Admits He’s “Apprehensive” Before First National GOP Debate,politics,"Aug 4, 2015", You don t know what s gonna come at you all of this has nothing to do with being a great President.  ,Fake,"fake headline: TRUMP AND O’REILLY DISCUSS DEBATE: Admits He’s “Apprehensive” Before First National GOP Debate
text:"," DON’T TRY TO WRITE FOR THE NEWS left below, right: Trump’s crusade against Both the Right and Democratic Talons has finally made it clear to conservatives that he has no intention of defending his policies.

Trump: “JUST WATCHED POLITICO Replay:00:

 --


Email RT newsletter to a friend Print this page

"
BRUTAL Meme Shows EXACTLY What A Hillary Presidency Would Look Like,politics,"Mar 19, 2016","This cartoon is one of our all-time favorites. You ve gotta love the note from Bill on the pillow, and the Bernie Sanders voodoo doll on her nightstand is priceless",Fake,"fake headline: BRUTAL Meme Shows EXACTLY What A Hillary Presidency Would Look Like
text:"," Democrats are not talking about secret election
promise to state secretary, Joe Biden, on Ukraine; Susan
Hagerty writes:
""Donald Trump is one of the most unpopular political candidates
in the recent history, and the underlying message
is that he will be a serious threat to American democracy
and the nation’s economy. The election matchup for the"
BREAKING: “The Real Donald Trump Story”,politics,"Jan 8, 2016",A New Campaign Video was just released from the Donald Trump Campaign   Your thoughts on this?,Fake,"fake headline: BREAKING: “The Real Donald Trump Story”
text:"," https://t.co/fQ3ijsJ4fi — Minnesotaoth (@Minnesotaoth) May 21, 2017

Also on the sports broadcast side, the transcript appeared to show that the farmer had a bunch of blacks inside and was happy about them and blaming it on the “meals-only” Modi campaign.

“We have"
AMAZING! JUDGE LYNN TOLER ON THE DEFINITION OF MANHOOD,left-news,"Jun 9, 2015",Amen! This judge brings it to this man and it s amazing!,Fake,"fake headline: AMAZING! JUDGE LYNN TOLER ON THE DEFINITION OF MANHOOD
text:"," (And Madame Musselman concludes with: ""Well done Madame, you've written goodensible! I'll leave that women's story for all to enjoy, gentlemen!"").

All the art that comes up, I guess, has been a gift to the human soul, to know that that animal is alive.

I realized that now that I've learned that"
‘Bernie Sanders is on a Mission’,US_News,"May 26, 2016","21st Century Wire says But he can he accomplish his objective?In the following episode of CrossTalk, a panel gets into a very heated discussion on that very question. Sanders is the only candidate who has a chance of beating Trump, as Hillary is now consistently losing to him in head-to-head polls.",Fake,"fake headline: ‘Bernie Sanders is on a Mission’
text:"," Atheist Reporters Sense of American Nationalism view voter turnout across the United States as a key factor in Brexit election results. They predict that the turnout in the United States will rise to 92,700 on the 1-year survey which was conducted by the American Association of University Professors from the 1981-1988 election, but that the turnout will be far below the predicted level"
ONLY IN DETROIT: SQUATTING ON THE SQUATTER TAKES A TURN,politics,"Apr 9, 2015",You won t want to miss this,Fake,"fake headline: ONLY IN DETROIT: SQUATTING ON THE SQUATTER TAKES A TURN
text:"," THE CHASTITY OF THE BODY: ONLY IN DETROIT: SQUATTING ON THE SQUATTER TAKES A TURN

The image of the body of this officer, which he apparently took himself to be, is said to have been noticed by the people of Tripoli as a ""pair of superhumans"" which combine with the ""super carrier"""
"Shaquille O’Neal: “The Earth is flat. Yes, it is.”",US_News,"March 21, 2017","21st Century Wire says No, it is not. Retired basketball megastar Shaquille O Neal has stated that he believes the world is flat.",Fake,"fake headline: Shaquille O’Neal: “The Earth is flat. Yes, it is.”
text:"," “Tao, the Chinese cabbage king?”

Support Our Work

Please provide your views and feedback on the content on the site, or you can donate through our PayPal.<|endoftext|>"
HILARIOUS! Random French People Say They’d Gladly House A Refugee Until Interviewer Surprises Them With Refugee To Take Home,politics,"May 5, 2017","Watch this hilarious video from our British conservative friend Paul Joseph Watson (Twitter name:@PrisonPlanet) who does a brilliant job exposing the hypocrisy of the left: Pro-migrant French welcome more refugees! But when asked to house one, their enthusiasm suddenly disappears.",Fake,"fake headline: HILARIOUS! Random French People Say They’d Gladly House A Refugee Until Interviewer Surprises Them With Refugee To Take Home
text:"," Here’s about-to-the-safe: Their grandma is about to deliver the baby…dude. log in and get right to the source…

NIMSTY: Hurray, ha! Hurray! The common guy in this town has probably received more than their share of hostile messages.

NIMSTY: You’"
BUZZFEED’S EDITOR-IN-CHIEF Attempts Lame Explanation Of Why He Published Fake News On Trump: “This was absolutely the right thing to do”,politics,"Jan 11, 2017","Here s @chucktodd s interview with @BuzzFeedBen about BuzzFeed s decision to publish that dossier https://t.co/Oa7Fs6IVLT  Bradd Jaffy (@BraddJaffy) January 11, 2017",Fake,"fake headline: BUZZFEED’S EDITOR-IN-CHIEF Attempts Lame Explanation Of Why He Published Fake News On Trump: “This was absolutely the right thing to do”
text:"," “Really the discussion that caused concern was with Obama that if he wins the election, he will be re-elected. But the prime objective over the next days was to shore up the support for Obama by trying to explain why he lost the presidency.”
text: “Other candidates did not want him to win the presidency but they did want Obama to stay"
"BREAKING: SOURCE TELLS HOW Anthony Weiner Accidentally Got The 650,000 Emails The FBI Discovered",politics,"Oct 31, 2016", A source close to Anthony Weiner s legal team says it seems the laptop containing the emails was used to backup his estranged wife s Smartphone contacts in the process. The computer apparently backed up all of the emails as well.,Fake,"fake headline: BREAKING: SOURCE TELLS HOW Anthony Weiner Accidentally Got The 650,000 Emails The FBI Discovered
text:"," pic.twitter.com/3703B9D9Zp — Carlos Aguilar (@CarlosAguilar) May 22, 2017

The next day, a civil rights lawsuit by the FBI, the National Institutes of Health (NIH), the National Endowment for the Humanities and the Brennan Center for Justice also was dismissed. The lawsuit, filed in"
